	Regulon	Size	NES	p.value	FDR	Ledge
6667	6667	92	-0.04	0.966	0.998	9202, 80758, 118433, 23196, + 14 genes
84838	84838	170	-0.04	0.966	0.998	55161, 171023, 56997, 22984, + 31 genes
284390	284390	118	-0.04	0.965	0.998	79973, 728621, 22974, 4998, + 28 genes
28999	28999	115	-0.05	0.964	0.998	10400, 5898, 55039, 9897, + 14 genes
9603	9603	104	-0.05	0.964	0.998	917, 56938, 3604, 10257, + 13 genes
23493	23493	50	-0.05	0.963	0.998	11096, 56124, 25802, 3204, + 2 genes
643836	643836	94	-0.05	0.963	0.998	7700, 55900, 1727, 4090, + 10 genes
5245	5245	228	-0.05	0.962	0.998	9238, 54555, 8355, 4234, + 56 genes
55657	55657	184	-0.05	0.962	0.998	8935, 4649, 55208, 10482, + 33 genes
4208	4208	80	-0.05	0.961	0.998	10052, 30820, 10402, 10432, + 15 genes
3066	3066	297	-0.05	0.96	0.998	10492, 4691, 26135, 25879, + 68 genes
7692	7692	129	-0.05	0.96	0.998	54778, 94081, 55621, 57003, + 13 genes
339488	339488	120	-0.05	0.959	0.998	29999, 4014, 23015, 6780, + 25 genes
55888	55888	57	-0.05	0.959	0.998	10440, 64927, 7072, 10157, + 4 genes
503835	503835	31	-0.05	0.957	0.998	2845, 64218, 159162, 9421, + 27 genes
90441	90441	119	-0.05	0.957	0.998	90480, 26272, 51121, 55766, + 22 genes
80714	80714	194	-0.06	0.955	0.998	9535, 100130958, 55876, 3932, + 59 genes
7644	7644	60	-0.06	0.954	0.998	55762, 9534, 669, 253959, + 11 genes
6621	6621	146	-0.06	0.952	0.998	4957, 23223, 56997, 9692, + 20 genes
252884	252884	226	-0.06	0.95	0.998	5329, 8502, 1952, 23597, + 43 genes
283576	283576	63	-0.06	0.95	0.998	6419, 1952, 2026, 10121, + 7 genes
5469	5469	90	-0.06	0.949	0.998	6141, 990, 79893, 79683, + 19 genes
220929	220929	102	-0.07	0.947	0.998	1390, 1608, 6584, 64581, + 11 genes
5081	5081	56	-0.07	0.947	0.998	2743, 5366, 57107, 3021, + 11 genes
57591	57591	188	-0.07	0.944	0.998	8664, 27341, 29110, 28981, + 22 genes
5970	5970	49	-0.07	0.944	0.998	10534, 10524, 5436, 79080, + 4 genes
29994	29994	139	-0.07	0.943	0.998	6921, 8502, 51491, 23246, + 19 genes
9480	9480	95	-0.07	0.943	0.998	30846, 55653, 84179, 2020, + 20 genes
654254	654254	30	-0.07	0.942	0.998	11073, 80095, 135138, 79915, + 9 genes
116115	116115	40	-0.08	0.94	0.998	9247, 55094, 25888, 2068, + 5 genes
26298	26298	163	-0.08	0.937	0.998	55233, 10209, 8743, 54682, + 19 genes
344022	344022	68	-0.08	0.937	0.998	9947, 6416, 1143, 25936, + 8 genes
360023	360023	110	-0.08	0.935	0.998	5525, 55103, 6045, 51377, + 24 genes
50862	50862	137	-0.08	0.933	0.998	83937, 55293, 373, 79187, + 18 genes
7474	7474	90	-0.08	0.933	0.998	4982, 10309, 108, 8840, + 20 genes
3204	3204	137	-0.09	0.932	0.998	9464, 1804, 1036, 301, + 22 genes
90485	90485	48	-0.09	0.932	0.998	57602, 28964, 3075, 509, + 11 genes
153222	153222	474	-0.09	0.93	0.998	54878, 10248, 1793, 8896, + 93 genes
64375	64375	63	-0.09	0.929	0.998	54477, 3423, 23787, 10396, + 11 genes
84327	84327	33	-0.09	0.929	0.998	3281, 9652, 5281, 5879, + 2 genes
10009	10009	70	-0.09	0.926	0.998	79832, 23592, 56180, 10495, + 16 genes
51385	51385	167	-0.09	0.926	0.998	26140, 8448, 2588, 1441, + 50 genes
5971	5971	200	-0.09	0.926	0.998	864, 140461, 8766, 400, + 40 genes
79692	79692	50	-0.09	0.925	0.998	5000, 373, 4090, 8986, + 8 genes
80709	80709	197	-0.09	0.925	0.998	11034, 9159, 51606, 51650, + 41 genes
10370	10370	72	-0.1	0.923	0.998	9439, 80344, 8743, 7485, + 6 genes
55628	55628	63	-0.1	0.922	0.998	8896, 51022, 23556, 3958, + 8 genes
79366	79366	117	-0.1	0.922	0.998	2491, 10076, 7334, 55156, + 24 genes
253782	253782	294	-0.1	0.921	0.998	55041, 7337, 57515, 57060, + 58 genes
466	466	48	-0.1	0.919	0.998	10254, 9113, 3572, 5526, + 14 genes
6879	6879	69	-0.1	0.918	0.998	56123, 1452, 56128, 56106, + 19 genes
3231	3231	42	-0.11	0.915	0.998	2191, 5118, 27286, 5176, + 9 genes
201516	201516	28	-0.11	0.913	0.998	10881, 8513, 1581, 9708, + 8 genes
57732	57732	277	-0.11	0.912	0.998	22974, 4998, 23435, 55055, + 65 genes
865	865	245	-0.11	0.911	0.998	56180, 10614, 54681, 57579, + 64 genes
55806	55806	79	-0.11	0.909	0.998	29760, 54626, 6508, 10290, + 15 genes
10732	10732	94	-0.12	0.908	0.998	90204, 58472, 79980, 5203, + 14 genes
79800	79800	220	-0.12	0.908	0.998	27183, 6184, 203068, 7761, + 38 genes
84324	84324	146	-0.12	0.907	0.998	662, 7334, 3396, 6629, + 33 genes
9221	9221	259	-0.12	0.907	0.998	4691, 3313, 79652, 25879, + 66 genes
3727	3727	59	-0.12	0.906	0.998	4713, 388, 3280, 55850, + 8 genes
4004	4004	30	-0.12	0.906	0.998	79605, 797, 3857, 29780, + 3 genes
51085	51085	153	-0.12	0.906	0.998	1036, 64102, 3952, 26532, + 31 genes
57643	57643	104	-0.12	0.905	0.998	27445, 57282, 4808, 107, + 27 genes
23091	23091	51	-0.12	0.904	0.998	253512, 9617, 64062, 9818, + 19 genes
4775	4775	89	-0.12	0.903	0.998	8139, 6645, 16, 868, + 7 genes
5241	5241	249	-0.12	0.902	0.998	3398, 8001, 8099, 25924, + 58 genes
79740	79740	72	-0.13	0.898	0.998	23764, 339, 4801, 23639, + 5 genes
2119	2119	176	-0.13	0.897	0.998	26230, 5325, 2209, 1102, + 34 genes
7743	7743	32	-0.13	0.897	0.998	7539, 7559, 687, 7763, + 3 genes
1749	1749	72	-0.13	0.896	0.998	1282, 26230, 112464, 9435, + 14 genes
55786	55786	35	-0.13	0.896	0.998	127544, 9051, 81562, 55769, + 2 genes
55809	55809	42	-0.13	0.896	0.998	9, 3475, 9580
6883	6883	121	-0.13	0.896	0.998	54910, 4869, 2287, 79947, + 27 genes
7291	7291	53	-0.13	0.896	0.998	9976, 9242, 5118, 5176, + 13 genes
338917	338917	29	-0.13	0.895	0.998	1285, 10219, 9750, 79631, + 10 genes
90204	90204	131	-0.13	0.895	0.998	22839, 3953, 23189, 5321, + 19 genes
7756	7756	87	-0.13	0.893	0.998	9696, 80700, 79893, 8669, + 19 genes
29800	29800	186	-0.14	0.891	0.998	7153, 9787, 9055, 79733, + 22 genes
5036	5036	354	-0.14	0.891	0.998	1207, 8669, 4234, 4691, + 92 genes
1876	1876	212	-0.14	0.889	0.998	29954, 79652, 55225, 1736, + 49 genes
4618	4618	38	-0.14	0.889	0.998	735, 5988, 148753, 56156, + 7 genes
91661	91661	44	-0.14	0.889	0.998	1647, 3726, 54165, 60370, + 2 genes
64321	64321	168	-0.14	0.888	0.998	6491, 83483, 6442, 10268, + 37 genes
8553	8553	54	-0.14	0.888	0.998	5733, 9074, 22981, 375449, + 12 genes
163115	163115	30	-0.14	0.887	0.998	56898, 54810, 7170
6913	6913	50	-0.14	0.887	0.998	4619, 54796, 25802, 284119, + 2 genes
402381	402381	109	-0.14	0.886	0.998	430, 2556, 6617, 1244, + 17 genes
6097	6097	138	-0.15	0.884	0.998	563, 2175, 9493, 890, + 27 genes
2297	2297	46	-0.15	0.883	0.998	26018, 2296, 2295, 8941, + 11 genes
121643	121643	94	-0.15	0.881	0.998	80128, 51557, 51298, 496, + 37 genes
1389	1389	237	-0.15	0.881	0.998	3752, 53346, 27289, 5274, + 49 genes
63876	63876	62	-0.15	0.879	0.998	9737, 64405, 8436, 3852, + 12 genes
92399	92399	189	-0.15	0.877	0.998	9045, 1606, 4143, 3615, + 39 genes
56033	56033	66	-0.16	0.876	0.998	1466, 56660, 133, 2297, + 10 genes
7761	7761	99	-0.16	0.876	0.998	54585, 23246, 29922, 7508, + 12 genes
90993	90993	162	-0.16	0.876	0.998	5654, 2342, 112611, 8495, + 42 genes
27022	27022	40	-0.16	0.874	0.998	80219, 56994, 8287, 25994, + 6 genes
128209	128209	56	-0.16	0.873	0.998	8794, 23414, 7915, 29940, + 10 genes
283078	283078	48	-0.16	0.873	0.998	642, 9026, 3990, 5733, + 15 genes
114991	114991	59	-0.16	0.872	0.998	28957, 5204, 51241, 51181, + 9 genes
3233	3233	45	-0.16	0.872	0.998	2840, 8520, 2923, 22861, + 3 genes
4084	4084	37	-0.16	0.871	0.998	6654, 8139, 26059, 23598, + 5 genes
22807	22807	78	-0.16	0.869	0.998	1233, 253461, 677, 55898, + 8 genes
340252	340252	56	-0.16	0.869	0.998	51427, 79868, 64921, 4240, + 5 genes
1044	1044	40	-0.17	0.868	0.998	939, 6272, 4050, 915, + 6 genes
92999	92999	277	-0.17	0.868	0.998	54845, 22974, 6491, 25842, + 76 genes
7691	7691	31	-0.17	0.867	0.998	6632, 3752, 4915, 9607, + 2 genes
7022	7022	68	-0.17	0.866	0.998	100126791, 2128, 54681, 66035, + 13 genes
3516	3516	27	-0.17	0.865	0.998	56848, 54862, 64421, 1665, + 5 genes
84108	84108	107	-0.17	0.865	0.998	8767, 8894, 1390, 51076, + 18 genes
54816	54816	154	-0.17	0.864	0.998	50814, 64777, 56986, 253959, + 35 genes
7707	7707	106	-0.17	0.864	0.998	80218, 23592, 545, 23527, + 31 genes
654364	654364	89	-0.17	0.862	0.998	10452, 79714, 64223, 65263, + 30 genes
84844	84844	223	-0.17	0.862	0.998	84271, 4691, 7533, 1736, + 57 genes
147948	147948	37	-0.18	0.861	0.998	7730, 11122, 11065, 767, + 12 genes
3297	3297	243	-0.18	0.861	0.998	28998, 7098, 10212, 54677, + 30 genes
2553	2553	143	-0.18	0.858	0.998	23654, 55149, 10347, 4054, + 36 genes
3608	3608	209	-0.18	0.858	0.998	29097, 1736, 7371, 23590, + 50 genes
51114	51114	202	-0.18	0.857	0.998	4588, 2665, 10959, 50853, + 64 genes
30009	30009	207	-0.18	0.856	0.998	8740, 4068, 2848, 57559, + 46 genes
4831	4831	208	-0.18	0.855	0.998	55379, 56915, 5435, 9045, + 56 genes
55145	55145	94	-0.18	0.855	0.998	7994, 7227, 5885, 54968, + 17 genes
27319	27319	94	-0.18	0.854	0.998	9452, 4045, 55800, 154, + 15 genes
221785	221785	71	-0.19	0.853	0.998	402055, 51382, 3860, 55505, + 13 genes
284307	284307	28	-0.19	0.853	0.998	63934, 26073, 8914, 862, + 8 genes
6945	6945	153	-0.19	0.853	0.998	441263, 6777, 1479, 57213, + 35 genes
4091	4091	45	-0.19	0.852	0.998	284119, 11007, 23424, 1674, + 4 genes
688	688	89	-0.19	0.851	0.998	58516, 7135, 6988, 22839, + 19 genes
170825	170825	32	-0.19	0.849	0.998	7422, 3860, 1543, 3033
10320	10320	264	-0.19	0.848	0.998	3561, 51744, 8477, 1118, + 75 genes
6884	6884	133	-0.19	0.848	0.998	9188, 10973, 1810, 5782, + 37 genes
81931	81931	86	-0.19	0.848	0.998	54681, 80347, 10948, 10492, + 18 genes
84525	84525	45	-0.19	0.848	0.998	22808, 3764, 2515, 623, + 13 genes
9479	9479	219	-0.19	0.848	0.998	150244, 10882, 80352, 1850, + 58 genes
4762	4762	26	-0.19	0.847	0.998	3283, 10407, 60506, 8340, + 4 genes
6886	6886	144	-0.19	0.847	0.998	8835, 4239, 174, 4856, + 31 genes
2736	2736	169	-0.19	0.846	0.998	1490, 64388, 9639, 5961, + 50 genes
6258	6258	71	-0.2	0.845	0.998	64102, 3952, 5959, 1113, + 12 genes
7050	7050	94	-0.2	0.845	0.998	284266, 1848, 55080, 4248, + 16 genes
126069	126069	31	-0.2	0.843	0.998	9791, 6355, 7167, 54943, + 6 genes
50674	50674	28	-0.2	0.841	0.998	8303, 9739, 23439, 81575, 5968
55081	55081	96	-0.2	0.841	0.998	8481, 23163, 28990, 124583, + 13 genes
146050	146050	89	-0.2	0.838	0.998	29072, 51742, 2091, 79598, + 22 genes
54738	54738	25	-0.2	0.838	0.998	27285, 26538, 2895, 10992, + 9 genes
7764	7764	61	-0.21	0.837	0.998	57669, 4795, 2794, 23394, + 11 genes
57541	57541	60	-0.21	0.835	0.998	2339, 5701, 7559, 55131, + 6 genes
9496	9496	43	-0.21	0.835	0.998	27250, 10716, 54858, 150, + 7 genes
285267	285267	113	-0.21	0.833	0.998	9324, 55709, 7110, 353, + 18 genes
54877	54877	43	-0.21	0.833	0.998	51322, 4677, 51320, 54726, + 4 genes
1789	1789	195	-0.21	0.832	0.998	5607, 55316, 55246, 24139, + 38 genes
9705	9705	69	-0.21	0.831	0.998	784, 50856, 942, 3553, + 24 genes
9880	9880	63	-0.21	0.831	0.998	23195, 25888, 22984, 904, + 13 genes
3182	3182	119	-0.21	0.83	0.998	1627, 3313, 29097, 662, + 28 genes
25888	25888	59	-0.22	0.829	0.998	10721, 7554, 5333, 641, + 11 genes
7023	7023	147	-0.22	0.829	0.998	6944, 8850, 9867, 51566, + 43 genes
152098	152098	65	-0.22	0.828	0.998	6045, 9911, 292, 51185, + 15 genes
389692	389692	49	-0.22	0.827	0.998	59344, 91373, 900, 3706, + 6 genes
7080	7080	42	-0.22	0.827	0.998	3670, 10643, 9085, 218, + 11 genes
139735	139735	61	-0.22	0.826	0.998	4325, 81543, 3987, 3690, + 20 genes
163255	163255	93	-0.22	0.826	0.998	7769, 7556, 3838, 9133, + 16 genes
6129	6129	208	-0.22	0.826	0.998	6164, 3615, 6159, 84271, + 58 genes
6721	6721	105	-0.22	0.826	0.998	8508, 27076, 55076, 5366, + 14 genes
864	864	143	-0.22	0.826	0.998	6261, 50515, 5292, 9806, + 33 genes
54856	54856	63	-0.22	0.825	0.998	55746, 23524, 171023, 27042, + 10 genes
1871	1871	365	-0.22	0.824	0.998	23590, 58516, 9859, 84179, + 88 genes
4435	4435	114	-0.22	0.824	0.998	4887, 29899, 9413, 2897, + 36 genes
127396	127396	52	-0.22	0.823	0.998	9984, 51727, 7072, 5493, + 6 genes
55769	55769	82	-0.22	0.822	0.998	79841, 10336, 50840, 196403, + 29 genes
64145	64145	33	-0.22	0.822	0.998	51533, 7428, 23243, 7155, + 14 genes
83482	83482	117	-0.23	0.821	0.998	51566, 64130, 535, 10814, + 34 genes
9971	9971	28	-0.23	0.821	0.998	10599, 26538, 6123, 574, + 7 genes
2966	2966	27	-0.23	0.82	0.998	9759, 23107, 4184, 51412, + 4 genes
4222	4222	254	-0.23	0.819	0.998	64102, 54997, 79442, 4239, + 50 genes
7342	7342	46	-0.23	0.819	0.998	7110, 5576, 9730, 9797, + 6 genes
55634	55634	140	-0.23	0.817	0.998	8646, 57016, 2108, 80742, + 31 genes
80108	80108	110	-0.23	0.816	0.998	56898, 78991, 10644, 131566, + 17 genes
10660	10660	30	-0.23	0.815	0.998	1543, 29065, 2189, 5768, + 4 genes
2020	2020	35	-0.23	0.815	0.998	6493, 1412, 1036, 22987, + 8 genes
5463	5463	330	-0.23	0.815	0.998	51514, 7415, 284439, 4122, + 64 genes
85416	85416	28	-0.24	0.813	0.998	23200, 2020, 3975, 2297, + 5 genes
5324	5324	48	-0.24	0.812	0.998	2029, 814, 57579, 55764, + 11 genes
116225	116225	174	-0.24	0.81	0.998	5437, 56915, 5435, 9238, + 42 genes
219654	219654	416	-0.24	0.81	0.998	54845, 22974, 6632, 25992, + 117 genes
9242	9242	216	-0.24	0.81	0.998	1306, 2171, 3036, 5328, + 26 genes
6881	6881	139	-0.24	0.809	0.998	51550, 3631, 51013, 5439, + 29 genes
27300	27300	26	-0.24	0.808	0.998	26354, 6046, 5745, 79673, + 5 genes
643719	643719	43	-0.24	0.808	0.998	57644, 55805, 4621, 10097, + 2 genes
6932	6932	47	-0.24	0.808	0.998	8115, 864, 915, 53347, + 8 genes
140883	140883	49	-0.24	0.807	0.998	9760, 22808, 3344, 79780, + 17 genes
9753	9753	37	-0.25	0.806	0.998	7262, 55128, 54512, 7570, + 2 genes
253461	253461	186	-0.25	0.804	0.998	10746, 55970, 54532, 4150, + 36 genes
4790	4790	178	-0.25	0.804	0.998	5742, 8745, 9180, 51284, + 33 genes
55854	55854	414	-0.25	0.804	0.998	9320, 22919, 51002, 5433, + 134 genes
6874	6874	121	-0.25	0.803	0.998	9777, 11177, 8909, 23350, + 36 genes
121536	121536	65	-0.25	0.802	0.998	11194, 58516, 3845, 54477, + 13 genes
8939	8939	56	-0.25	0.802	0.998	157922, 10773, 9575, 9329, + 6 genes
170302	170302	43	-0.25	0.801	0.998	27091, 23334, 55521, 5076, + 19 genes
5990	5990	89	-0.25	0.801	0.998	59344, 29929, 25802, 23155, + 11 genes
158866	158866	31	-0.25	0.8	0.998	8323, 10157, 80310, 8894
58524	58524	55	-0.25	0.8	0.998	83483, 5292, 9435, 55509, + 11 genes
3227	3227	57	-0.25	0.799	0.998	1421, 5641, 5321, 57419, + 11 genes
3142	3142	142	-0.26	0.798	0.998	55700, 9435, 64395, 4846, + 28 genes
7710	7710	39	-0.26	0.794	0.998	7767, 11238, 3068, 10535, + 9 genes
84460	84460	194	-0.26	0.794	0.998	79730, 10181, 55692, 25924, + 53 genes
113835	113835	31	-0.26	0.792	0.998	86, 57615, 7040, 3320, + 11 genes
55734	55734	106	-0.26	0.792	0.998	312, 10550, 22839, 8480, + 20 genes
653404	653404	64	-0.27	0.791	0.998	7021, 2956, 1795, 23526, + 15 genes
7546	7546	54	-0.27	0.79	0.998	11266, 1188, 91445, 57758, + 11 genes
10765	10765	82	-0.27	0.789	0.998	8237, 9877, 51742, 10973, + 19 genes
57621	57621	73	-0.27	0.788	0.998	10095, 55023, 528, 10767, + 19 genes
84163	84163	174	-0.27	0.786	0.998	728621, 22974, 51008, 83450, + 47 genes
64344	64344	78	-0.27	0.785	0.998	6307, 6869, 6854, 11170, + 26 genes
7695	7695	38	-0.27	0.785	0.998	7767, 81569, 7561, 126070, + 10 genes
121274	121274	108	-0.27	0.784	0.998	23233, 8409, 8655, 2957, + 31 genes
2078	2078	249	-0.28	0.783	0.998	25924, 80243, 2044, 10100, + 67 genes
254887	254887	102	-0.28	0.781	0.998	9450, 54801, 165, 79572, + 33 genes
219749	219749	95	-0.28	0.779	0.998	5274, 2101, 10471, 7415, + 21 genes
2737	2737	139	-0.28	0.779	0.998	1267, 55743, 7453, 4148, + 39 genes
57109	57109	83	-0.28	0.779	0.998	54865, 54107, 64794, 55178, + 30 genes
3175	3175	51	-0.28	0.778	0.998	51702, 81493, 1746, 1140, + 11 genes
3232	3232	30	-0.28	0.776	0.998	51380, 51727, 4621, 55384
23314	23314	29	-0.29	0.774	0.998	9721, 8825, 3159, 1876, + 7 genes
84243	84243	100	-0.29	0.774	0.998	80115, 79600, 4329, 11196, + 14 genes
10481	10481	33	-0.29	0.771	0.998	56934, 55650, 3849, 23510, + 6 genes
3662	3662	97	-0.29	0.771	0.998	2838, 149628, 1286, 55289, + 24 genes
9931	9931	70	-0.29	0.77	0.998	4763, 10672, 347344, 4659, + 16 genes
4087	4087	87	-0.29	0.769	0.998	22850, 7572, 55080, 64795, + 17 genes
56978	56978	113	-0.29	0.769	0.998	23569, 4914, 23504, 8707, + 15 genes
5925	5925	161	-0.29	0.769	0.998	5611, 26227, 22894, 57213, + 26 genes
57623	57623	36	-0.29	0.768	0.998	23529, 84981, 3054, 902, + 4 genes
6736	6736	38	-0.3	0.767	0.998	9172, 55213, 10876, 6787, + 7 genes
91748	91748	85	-0.3	0.767	0.998	55102, 11138, 9454, 6239, + 20 genes
728489	728489	78	-0.3	0.766	0.998	79759, 56926, 6633, 8220, + 13 genes
6880	6880	236	-0.3	0.764	0.998	7518, 51124, 5681, 81577, + 60 genes
2019	2019	180	-0.3	0.763	0.998	1849, 131578, 2296, 5308, + 51 genes
169841	169841	120	-0.3	0.762	0.998	50832, 11126, 9167, 2677, + 25 genes
2494	2494	44	-0.3	0.762	0.998	51705, 27115, 6563, 25924, + 10 genes
6665	6665	68	-0.3	0.762	0.998	10290, 3852, 218, 54413, + 11 genes
84969	84969	63	-0.31	0.76	0.998	943, 974, 4063, 3750, + 28 genes
222546	222546	58	-0.31	0.758	0.998	9737, 767, 26507, 4887, + 19 genes
9031	9031	151	-0.31	0.758	0.998	9126, 8833, 675, 22853, + 33 genes
9984	9984	135	-0.31	0.758	0.998	23029, 2796, 55556, 60685, + 25 genes
26959	26959	118	-0.31	0.757	0.998	4605, 4189, 64921, 7083, + 18 genes
8882	8882	148	-0.31	0.757	0.998	1736, 1678, 5064, 23590, + 43 genes
9014	9014	71	-0.31	0.757	0.998	151987, 10153, 22950, 84272, + 14 genes
51304	51304	130	-0.31	0.756	0.998	100129482, 51228, 1605, 375346, + 24 genes
7639	7639	26	-0.31	0.755	0.998	983, 5339, 24144
7029	7029	98	-0.31	0.754	0.998	51193, 23350, 9868, 11222, + 26 genes
64067	64067	27	-0.31	0.753	0.998	23254, 22794, 79802, 55974, 4212
2103	2103	49	-0.32	0.752	0.998	8927, 340351, 9256, 54413, + 8 genes
3229	3229	56	-0.32	0.751	0.998	7673, 2104, 9334, 8000, + 10 genes
503582	503582	26	-0.32	0.751	0.998	7976, 58510, 1584, 55690, + 22 genes
579	579	61	-0.32	0.75	0.998	1469, 1604, 56000, 170679, + 12 genes
59269	59269	93	-0.32	0.749	0.998	375449, 4163, 3423, 6707, + 17 genes
162239	162239	73	-0.32	0.748	0.998	1796, 8139, 6477, 80221, + 9 genes
79365	79365	31	-0.32	0.748	0.998	6422, 3204, 2152, 4638, 9759
115196	115196	59	-0.32	0.747	0.998	56833, 64800, 26152, 27285, + 20 genes
133923	133923	67	-0.32	0.747	0.998	1287, 2302, 1842, 25769, + 25 genes
63977	63977	139	-0.32	0.746	0.998	54487, 5411, 3609, 27247, + 33 genes
284443	284443	48	-0.33	0.745	0.998	54943, 57404, 4017, 171586, + 8 genes
340554	340554	58	-0.33	0.744	0.998	9737, 5687, 80003, 10000, + 12 genes
220202	220202	25	-0.33	0.743	0.998	10389, 3049, 1200, 6451, + 5 genes
4149	4149	145	-0.33	0.741	0.998	22938, 2287, 51550, 284439, + 27 genes
5452	5452	50	-0.33	0.741	0.998	50515, 730092, 3587, 51411, + 10 genes
22891	22891	61	-0.33	0.739	0.998	4319, 1287, 3673, 25769, + 21 genes
6299	6299	77	-0.33	0.739	0.998	25769, 7168, 1293, 1300, + 25 genes
92822	92822	223	-0.34	0.736	0.998	259173, 10482, 4050, 5062, + 43 genes
26257	26257	66	-0.34	0.735	0.998	810, 2893, 55867, 1830, + 23 genes
2294	2294	39	-0.34	0.733	0.998	3598, 64091, 22861, 81606, + 4 genes
6663	6663	436	-0.34	0.731	0.998	8838, 1404, 92154, 9227, + 132 genes
9877	9877	83	-0.34	0.731	0.998	23219, 7175, 55105, 4548, + 11 genes
4213	4213	126	-0.35	0.729	0.998	9133, 4605, 4597, 55143, + 16 genes
6935	6935	415	-0.35	0.728	0.998	5905, 861, 56123, 4430, + 141 genes
158586	158586	52	-0.35	0.726	0.998	30851, 6872, 10735, 10392, + 10 genes
3236	3236	28	-0.35	0.726	0.998	5764, 810, 3235, 2151, + 9 genes
57798	57798	79	-0.35	0.726	0.998	29104, 11162, 9688, 6612, + 18 genes
5468	5468	99	-0.35	0.725	0.998	1036, 64102, 33, 3952, + 21 genes
4851	4851	203	-0.35	0.724	0.998	6500, 6452, 4000, 4627, + 67 genes
54819	54819	145	-0.35	0.724	0.998	285672, 373, 1727, 10514, + 23 genes
7706	7706	62	-0.35	0.724	0.998	23315, 317762, 4293, 2780, + 20 genes
2128	2128	31	-0.35	0.723	0.998	4168, 9085, 218, 7135, + 5 genes
285989	285989	147	-0.35	0.723	0.998	387, 55876, 29999, 23769, + 44 genes
7567	7567	64	-0.35	0.723	0.998	55259, 54386, 79973, 728621, + 13 genes
23051	23051	105	-0.36	0.721	0.998	22925, 8897, 125058, 5178, + 32 genes
126068	126068	54	-0.36	0.718	0.998	7407, 55210, 6598, 10360, + 15 genes
220992	220992	95	-0.36	0.718	0.998	6675, 7019, 55149, 22944, + 21 genes
5396	5396	219	-0.36	0.718	0.998	2892, 1293, 1300, 4907, + 75 genes
284391	284391	115	-0.36	0.717	0.998	5692, 2588, 123803, 27445, + 37 genes
5449	5449	28	-0.36	0.717	0.998	28234, 3959, 51412, 8653, + 2 genes
58487	58487	73	-0.36	0.717	0.998	9866, 1411, 55208, 4122, + 12 genes
6596	6596	109	-0.36	0.717	0.998	57165, 4066, 25852, 51163, + 26 genes
57459	57459	74	-0.36	0.716	0.998	10623, 11022, 80003, 9909, + 20 genes
7019	7019	153	-0.36	0.716	0.998	79735, 9188, 6059, 79828, + 54 genes
29842	29842	74	-0.37	0.715	0.998	2296, 25803, 79875, 9229, + 21 genes
6908	6908	76	-0.37	0.715	0.998	22828, 928, 5333, 4668, + 11 genes
8522	8522	205	-0.37	0.713	0.998	9920, 5325, 862, 3736, + 46 genes
7008	7008	84	-0.37	0.712	0.998	22925, 8897, 23051, 91445, + 25 genes
11108	11108	75	-0.37	0.71	0.998	79809, 3338, 5781, 55591, + 19 genes
7570	7570	54	-0.37	0.71	0.998	79730, 5325, 54681, 65987, + 10 genes
664701	664701	70	-0.37	0.709	0.998	8914, 22974, 4998, 6491, + 23 genes
642658	642658	34	-0.38	0.707	0.998	54812, 81858, 23032, 10026, + 5 genes
23090	23090	175	-0.38	0.705	0.998	6563, 2205, 56130, 8646, + 52 genes
6493	6493	37	-0.38	0.705	0.998	1795, 2020, 547, 5121, + 6 genes
1499	1499	81	-0.38	0.703	0.998	22925, 29072, 79622, 10289, + 22 genes
10153	10153	279	-0.38	0.701	0.998	79677, 5433, 9188, 6897, + 99 genes
27309	27309	126	-0.39	0.7	0.998	29063, 22950, 8348, 5471, + 24 genes
140628	140628	76	-0.39	0.698	0.998	9143, 3757, 2020, 3352, + 15 genes
7716	7716	118	-0.39	0.697	0.998	80184, 55293, 8526, 8161, + 19 genes
2969	2969	49	-0.39	0.696	0.998	151987, 5049, 22850, 22853, + 10 genes
54796	54796	311	-0.39	0.695	0.998	25769, 5939, 9312, 4675, + 110 genes
55922	55922	290	-0.39	0.695	0.998	5716, 5001, 10735, 80765, + 86 genes
91120	91120	35	-0.39	0.694	0.998	55208, 10793, 7637, 7639, + 4 genes
4821	4821	59	-0.4	0.692	0.998	9024, 9536, 1627, 6675, + 11 genes
83595	83595	27	-0.4	0.692	0.998	6615, 182, 55790, 1959
440077	440077	28	-0.4	0.691	0.998	54514, 29909, 81870, 3567, + 5 genes
11278	11278	57	-0.4	0.688	0.998	22894, 9131, 659, 60312, + 10 genes
84914	84914	67	-0.4	0.687	0.998	6275, 375449, 22934, 57669, + 14 genes
55892	55892	67	-0.41	0.685	0.998	51193, 23350, 6747, 79572, + 20 genes
80149	80149	90	-0.41	0.685	0.998	51520, 1326, 4591, 9051, + 11 genes
2034	2034	28	-0.41	0.684	0.998	3745, 687, 55790, 8613, + 3 genes
340784	340784	43	-0.41	0.684	0.998	100132476, 5213, 23421, 51315, + 5 genes
399669	399669	57	-0.41	0.684	0.998	10814, 79730, 26230, 7021, + 15 genes
9044	9044	100	-0.41	0.684	0.998	10695, 51079, 904, 23451, + 16 genes
170261	170261	54	-0.41	0.681	0.998	29943, 6783, 10913, 8667, + 17 genes
84524	84524	110	-0.41	0.681	0.998	5433, 79828, 2071, 7718, + 38 genes
4807	4807	65	-0.41	0.68	0.998	55876, 4761, 29999, 6452, + 18 genes
6473	6473	30	-0.41	0.68	0.998	7041, 2984, 4951, 7448, + 8 genes
